column,painintensity,attack_duration,total_pain,migraine_start_time_from_midnight,migraine_end_time_from_midnight,attacks,trigger_menstruation,attacks_per_month,total_hours_slept,start_time_from_midnight,end_time_from_midnight,time_in_bed,wake_time,sleep_efficiency,num_interruptions
painintensity,1,0.22583262901245935,0.4685714695500423,-0.03887686527697446,0.21406523975688158,-0.1235595646716191,0.01051919902718473,-0.12355956467162243,0.04059156956816629,-0.020459303004725496,0.012109932569299993,0.023893435249204908,-0.044292557373427695,0.042382358595966535,0.040128991511026356
attack_duration,0.22583262901245935,1,0.9278475388277756,-0.04256576246418248,0.9760874482857151,-0.19858801735671905,0.06128203446508336,-0.19858801735672188,-0.01236271026085217,-0.11224200129289076,-0.07630675444226073,0.0616954954493815,0.028254809828175787,-9.652395161988609e-4,0.05185879819064445
total_pain,0.4685714695500423,0.9278475388277756,1,-0.04877481760144754,0.9036411758081286,-0.1955243052534882,0.05017097655084592,-0.19552430525348755,-0.00431848482983144,-0.07966666812184917,-0.04061895648910011,0.05037252768656957,-0.003884274840737009,0.026013504643992914,0.056029568963137065
migraine_start_time_from_midnight,-0.03887686527697446,-0.04256576246418248,-0.04877481760144754,1,0.17563330288678103,-0.03168637403136969,0.09961160847621366,-0.031686374031377154,0.05141744943930781,0.008002164192540453,0.23973636082951313,0.1094913322210491,0.07142564438888246,-0.06151626490691103,-0.0010201414236911883
migraine_end_time_from_midnight,0.21406523975688158,0.9760874482857151,0.9036411758081286,0.17563330288678103,1,-0.20257262333020215,0.08205721149118128,-0.2025726233301996,-9.94407367202554e-4,-0.10659715830759298,-0.020005347192525506,0.08409504022192801,0.043278587326320894,-0.01470688336732288,0.0508770423032448
attacks,-0.1235595646716191,-0.19858801735671905,-0.1955243052534882,-0.03168637403136969,-0.20257262333020215,1,-0.09671895278241849,0.9999999999999911,0.018661938337339,-0.15615205461507495,0.04660364906035981,0.1600880626815072,0.17609575254794882,-0.19777074623411614,0.0540864324048602
trigger_menstruation,0.01051919902718473,0.06128203446508336,0.05017097655084592,0.09961160847621366,0.08205721149118128,-0.09671895278241849,1,-0.09671895278241423,0.03145871115102512,0.0554680908476434,0.031773237629923685,-0.033374445719085384,-0.038065395063311136,0.06415411513575177,-0.004527494158276524
attacks_per_month,-0.12355956467162243,-0.19858801735672188,-0.19552430525348755,-0.031686374031377154,-0.2025726233301996,0.9999999999999911,-0.09671895278241423,1,0.01866193833728904,-0.15615205461507672,0.04660364906034333,0.16008806268150455,0.17609575254794932,-0.1977707462341159,0.05408643240486294
total_hours_slept,0.04059156956816629,-0.01236271026085217,-0.00431848482983144,0.05141744943930781,-9.94407367202554e-4,0.018661938337339,0.03145871115102512,0.01866193833728904,1,-0.26595007918792357,0.41830103078001396,0.43740443921152977,1.1340594887739914e-4,0.06507340878576687,-0.1173995344463954
start_time_from_midnight,-0.020459303004725496,-0.11224200129289076,-0.07966666812184917,0.008002164192540453,-0.10659715830759298,-0.15615205461507495,0.0554680908476434,-0.15615205461507672,-0.26595007918792357,1,0.012760130479888315,-0.8739288155552205,-0.8424972322868385,0.8063542692609582,-0.44674566369672514
end_time_from_midnight,0.012109932569299993,-0.07630675444226073,-0.04061895648910011,0.23973636082951313,-0.020005347192525506,0.04660364906035981,0.031773237629923685,0.04660364906034333,0.41830103078001396,0.012760130479888315,1,0.474862915340637,0.324641655126619,-0.2941694642820488,0.08743299974904416
time_in_bed,0.023893435249204908,0.0616954954493815,0.05037252768656957,0.1094913322210491,0.08409504022192801,0.1600880626815072,-0.033374445719085384,0.16008806268150455,0.43740443921152977,-0.8739288155552205,0.474862915340637,1,0.8993144963621824,-0.8526916044312631,0.4356955142864554
wake_time,-0.044292557373427695,0.028254809828175787,-0.003884274840737009,0.07142564438888246,0.043278587326320894,0.17609575254794882,-0.038065395063311136,0.17609575254794932,1.1340594887739914e-4,-0.8424972322868385,0.324641655126619,0.8993144963621824,1,-0.9798540590261833,0.5366733274255067
sleep_efficiency,0.042382358595966535,-9.652395161988609e-4,0.026013504643992914,-0.06151626490691103,-0.01470688336732288,-0.19777074623411614,0.06415411513575177,-0.1977707462341159,0.06507340878576687,0.8063542692609582,-0.2941694642820488,-0.8526916044312631,-0.9798540590261833,1,-0.6211781486791449
num_interruptions,0.040128991511026356,0.05185879819064445,0.056029568963137065,-0.0010201414236911883,0.0508770423032448,0.0540864324048602,-0.004527494158276524,0.05408643240486294,-0.1173995344463954,-0.44674566369672514,0.08743299974904416,0.4356955142864554,0.5366733274255067,-0.6211781486791449,1
